# z_nm Ndp_h_cm-3 Ndp_c_cm-3 Ndp_total_cm-3
-1.372864321608040257e+02 2.588779379456819000e+15 6.299718652460310000e+15 8.888498031917129000e+15
-1.363065326633165739e+02 2.587453001790330500e+15 6.299275251668241000e+15 8.886728253458571000e+15
-1.353266331658291506e+02 2.586006236177393500e+15 6.298791158482293000e+15 8.884797394659687000e+15
-1.343467336683416988e+02 2.584557916429187500e+15 6.298306077082389000e+15 8.882863993511578000e+15
-1.333668341708542755e+02 2.583108043528932000e+15 6.297820005609652000e+15 8.880928049138584000e+15
-1.323869346733668522e+02 2.581656618469435000e+15 6.297332942202378000e+15 8.878989560671813000e+15
-1.314070351758794004e+02 2.580203642253105500e+15 6.296844884996044000e+15 8.877048527249149000e+15
-1.304271356783919487e+02 2.578539784041885500e+15 6.296285409680098000e+15 8.874825193721983000e+15
-1.294472361809045253e+02 2.576846741181497000e+15 6.295715481592278000e+15 8.872562222773775000e+15
-1.284673366834171020e+02 2.575151606773504500e+15 6.295144202199738000e+15 8.870295808973243000e+15
-1.274874371859296502e+02 2.573454382458953500e+15 6.294571568554046000e+15 8.868025951013000000e+15
-1.265075376884422127e+02 2.571755069896542000e+15 6.293997577701607000e+15 8.865752647598149000e+15
-1.255276381909547752e+02 2.569901589409800500e+15 6.293370766361067000e+15 8.863272355770868000e+15
-1.245477386934673376e+02 2.567950081018214500e+15 6.292709961207460000e+15 8.860660042225675000e+15
-1.235678391959799001e+02 2.565995840303805000e+15 6.292047362987289000e+15 8.858043203291095000e+15
-1.225879396984924625e+02 2.564038869873553500e+15 6.291382967229005000e+15 8.855421837102558000e+15
-1.216080402010050250e+02 2.562079172365036000e+15 6.290716769452128000e+15 8.852795941817164000e+15
-1.206281407035175874e+02 2.560001042750867500e+15 6.290009350971473000e+15 8.850010393722341000e+15
-1.196482412060301499e+02 2.557727534972017000e+15 6.289234289545578000e+15 8.846961824517595000e+15
-1.186683417085427124e+02 2.555450390130851500e+15 6.288456797754378000e+15 8.843907187885230000e+15
-1.176884422110552748e+02 2.553169612513403500e+15 6.287676868604490000e+15 8.840846481117893000e+15
-1.167085427135678373e+02 2.550885206460902500e+15 6.286894495086503000e+15 8.837779701547405000e+15
-1.157286432160803997e+02 2.548597176369863000e+15 6.286109670174979000e+15 8.834706846544842000e+15
-1.147487437185929622e+02 2.546032454356092500e+15 6.285228493027193000e+15 8.831260947383285000e+15
-1.137688442211055246e+02 2.543371005377651500e+15 6.284312465826586000e+15 8.827683471204238000e+15
-1.127889447236180871e+02 2.540704706704018500e+15 6.283393113613502000e+15 8.824097820317521000e+15
-1.118090452261306496e+02 2.538033565559894000e+15 6.282470425336333000e+15 8.820503990896227000e+15
-1.108291457286432120e+02 2.535357589270610000e+15 6.281544389914438000e+15 8.816901979185048000e+15
-1.098492462311557745e+02 2.532471151930704000e+15 6.280543636429052000e+15 8.813014788359755000e+15
-1.088693467336683369e+02 2.529347959812092500e+15 6.279458585590191000e+15 8.808806545402284000e+15
-1.078894472361808994e+02 2.526218265331234500e+15 6.278368961832109000e+15 8.804587227163343000e+15
-1.069095477386934618e+02 2.523082080685432000e+15 6.277274747545157000e+15 8.800356828230589000e+15
-1.059296482412060243e+02 2.519939418257382500e+15 6.276175925066513000e+15 8.796115343323896000e+15
-1.049497487437185868e+02 2.516790290615485000e+15 6.275072476680159000e+15 8.791862767295644000e+15
-1.039698492462311492e+02 2.513126299146147500e+15 6.273785630714320000e+15 8.786911929860467000e+15
-1.029899497487437117e+02 2.509399130897910500e+15 6.272473284357832000e+15 8.781872415255742000e+15
-1.020100502512562741e+02 2.505663049105726000e+15 6.271154434627795000e+15 8.776817483733522000e+15
-1.010301507537688366e+02 2.501918075672267000e+15 6.269829052168599000e+15 8.771747127840866000e+15
-1.000502512562813990e+02 2.498164232860907000e+15 6.268497107521895000e+15 8.766661340382802000e+15
-9.907035175879396149e+01 2.494128945003527000e+15 6.267061462561963000e+15 8.761190407565490000e+15
-9.809045226130652395e+01 2.489853752462405500e+15 6.265536110252619000e+15 8.755389862715024000e+15
-9.711055276381908641e+01 2.485567265551355500e+15 6.264002209300082000e+15 8.749569474851438000e+15
-9.613065326633164887e+01 2.481269518917111500e+15 6.262459716199883000e+15 8.743729235116994000e+15
-9.515075376884422553e+01 2.476960547805571000e+15 6.260908587277887000e+15 8.737869135083458000e+15
-9.417085427135678799e+01 2.472594358090799500e+15 6.259332134255200000e+15 8.731926492346000000e+15
-9.319095477386935045e+01 2.467491591264466500e+15 6.257483674816631000e+15 8.724975266081097000e+15
-9.221105527638191290e+01 2.462373414921874000e+15 6.255623040696258000e+15 8.717996455618131000e+15
-9.123115577889447536e+01 2.457239890851916000e+15 6.253750159348774000e+15 8.710990050200689000e+15
-9.025125628140703782e+01 2.452091082003223500e+15 6.251864957902262000e+15 8.703956039905485000e+15
-8.927135678391960028e+01 2.446927052485196500e+15 6.249967363158242000e+15 8.696894415643439000e+15
-8.829145728643216273e+01 2.441218966308899000e+15 6.247861854817859000e+15 8.689080821126757000e+15
-8.731155778894472519e+01 2.435144829776815500e+15 6.245612051898632000e+15 8.680756881675448000e+15
-8.633165829145728765e+01 2.429050199369808000e+15 6.243344989567747000e+15 8.672395188937555000e+15
-8.535175879396985010e+01 2.422935185524009500e+15 6.241060548693269000e+15 8.663995734217279000e+15
-8.437185929648241256e+01 2.416799900846668000e+15 6.238758609535314000e+15 8.655558510381982000e+15
-8.339195979899497502e+01 2.410397534428230500e+15 6.236345791546898000e+15 8.646743325975129000e+15
-8.241206030150753747e+01 2.403075470573619500e+15 6.233572920365520000e+15 8.636648390939139000e+15
-8.143216080402009993e+01 2.395725465261490000e+15 6.230774922777370000e+15 8.626500388038860000e+15
-8.045226130653266239e+01 2.388347721541052500e+15 6.227951595095625000e+15 8.616299316636678000e+15
-7.947236180904522485e+01 2.380942446733709000e+15 6.225102732441217000e+15 8.606045179174927000e+15
-7.849246231155778730e+01 2.373509852427197500e+15 6.222228128745037000e+15 8.595737981172235000e+15
-7.751256281407034976e+01 2.365127472468695000e+15 6.218967727734573000e+15 8.584095200203268000e+15
-7.653266331658291222e+01 2.356632273822533000e+15 6.215643302375493000e+15 8.572275576198026000e+15
-7.555276381909547467e+01 2.348102870746433500e+15 6.212284904230541000e+15 8.560387774976975000e+15
-7.457286432160803713e+01 2.339539598511102000e+15 6.208892225374161000e+15 8.548431823885264000e+15
-7.359296482412059959e+01 2.330942799352707500e+15 6.205464955939535000e+15 8.536407755292243000e+15
-7.261306532663316204e+01 2.321272431164430500e+15 6.201583923547611000e+15 8.522856354712041000e+15
-7.163316582914572450e+01 2.310973637578549500e+15 6.197420372778756000e+15 8.508394010357305000e+15
-7.065326633165830117e+01 2.300629201750640000e+15 6.193206545356995000e+15 8.493835747107635000e+15
-6.967336683417084942e+01 2.290239748153209500e+15 6.188941907702172000e+15 8.479181655855381000e+15
-6.869346733668342608e+01 2.279805914769070500e+15 6.184625922460235000e+15 8.464431837229305000e+15
-6.771356783919597433e+01 2.268556053163707000e+15 6.179934741893053000e+15 8.448490795056760000e+15
-6.673366834170855100e+01 2.256035937186786000e+15 6.174667353846961000e+15 8.430703291033747000e+15
-6.575376884422109924e+01 2.243456130498417250e+15 6.169324828261389000e+15 8.412780958759806000e+15
-6.477386934673367591e+01 2.230817803021589500e+15 6.163906234196929000e+15 8.394724037218518000e+15
-6.379396984924622416e+01 2.218122150417637500e+15 6.158410633476733000e+15 8.376532783894371000e+15
-6.281407035175880083e+01 2.205370393742592000e+15 6.152837080769329000e+15 8.358207474511921000e+15
-6.183417085427134907e+01 2.190580231426978750e+15 6.146304169861502000e+15 8.336884401288481000e+15
-6.085427135678392574e+01 2.175166942934167250e+15 6.139416541075154000e+15 8.314583484009322000e+15
-5.987437185929647399e+01 2.159679356339189250e+15 6.132412553370288000e+15 8.292091909709477000e+15
-5.889447236180905065e+01 2.144119753099623250e+15 6.125290531625425000e+15 8.269410284725048000e+15
-5.791457286432159890e+01 2.128490462095794250e+15 6.118048787183502000e+15 8.246539249279296000e+15
-5.693467336683417557e+01 2.111307828836126750e+15 6.109983785122391000e+15 8.221291613958517000e+15
-5.595477386934672381e+01 2.092385217533495000e+15 6.100974047633152000e+15 8.193359265166648000e+15
-5.497487437185930048e+01 2.073373821167452500e+15 6.091783879381848000e+15 8.165157700549301000e+15
-5.399497487437184873e+01 2.054277993679790250e+15 6.082410269150777000e+15 8.136688262830568000e+15
-5.301507537688442540e+01 2.035102171886509500e+15 6.072850181674284000e+15 8.107952353560794000e+15
-5.203517587939697364e+01 2.015850871641036250e+15 6.063100558687281000e+15 8.078951430328317000e+15
-5.105527638190955031e+01 1.992317704563881000e+15 6.050970351628403000e+15 8.043288056192284000e+15
-5.007537688442209856e+01 1.968355000775344250e+15 6.038372289595534000e+15 8.006727290370878000e+15
-4.909547738693467522e+01 1.944301855213382500e+15 6.025468997232880000e+15 7.969770852446262000e+15
-4.811557788944722347e+01 1.920167344698578500e+15 6.012254550769595000e+15 7.932421895468173000e+15
-4.713567839195980014e+01 1.895960672283393250e+15 5.998722990040927000e+15 7.894683662324320000e+15
-4.615577889447234838e+01 1.869571319136904250e+15 5.983644182915900000e+15 7.853215502052804000e+15
-4.517587939698492505e+01 1.841186818803662250e+15 5.967031091476798000e+15 7.808217910280460000e+15
-4.419597989949747330e+01 1.812745825151054500e+15 5.949959761419620000e+15 7.762705586570674000e+15
-4.321608040201004997e+01 1.784263558420460250e+15 5.932420567674325000e+15 7.716684126094786000e+15
-4.223618090452259821e+01 1.755755327644294750e+15 5.914403869236409000e+15 7.670159196880704000e+15
-4.125628140703517488e+01 1.726601164117213250e+15 5.895482180050592000e+15 7.622083344167805000e+15
-4.027638190954772313e+01 1.690480146635750000e+15 5.871311029430571000e+15 7.561791176066321000e+15
-3.929648241206029979e+01 1.654398618472135500e+15 5.846322678651146000e+15 7.500721297123281000e+15
-3.831658291457284804e+01 1.618387696976210250e+15 5.820497731057412000e+15 7.438885428033623000e+15
-3.733668341708542471e+01 1.582478255884995000e+15 5.793816967354165000e+15 7.376295223239161000e+15
-3.635678391959797295e+01 1.546700820053519500e+15 5.766261405086470000e+15 7.312962225139989000e+15
-3.537688442211054962e+01 1.503883830791047000e+15 5.731931242997271000e+15 7.235815073788318000e+15
-3.439698492462309787e+01 1.459438618045969250e+15 5.694634003471623000e+15 7.154072621517592000e+15
-3.341708542713567454e+01 1.415362418743147250e+15 5.655854723423550000e+15 7.071217142166697000e+15
-3.243718592964825120e+01 1.371710187485621000e+15 5.615559576558149000e+15 6.987269764043771000e+15
-3.145728643216079945e+01 1.328534678931849750e+15 5.573716352501115000e+15 6.902251031432965000e+15
-3.047738693467337612e+01 1.279617471347628000e+15 5.523727776328606000e+15 6.803345247676234000e+15
-2.949748743718592436e+01 1.225837643862448750e+15 5.465324189448997000e+15 6.691161833311446000e+15
-2.851758793969850103e+01 1.173108770638300750e+15 5.404214399794274000e+15 6.577323170432575000e+15
-2.753768844221104928e+01 1.121515645050162750e+15 5.340353383998753000e+15 6.461869029048916000e+15
-2.655778894472362595e+01 1.071134444996282750e+15 5.273704935381758000e+15 6.344839380378041000e+15
-2.557788944723617419e+01 1.016404246353815125e+15 5.195975674216741000e+15 6.212379920570556000e+15
-2.459798994974875086e+01 9.546315204577790000e+14 5.100765786735889000e+15 6.055397307193667000e+15
-2.361809045226129911e+01 8.952444906119670000e+14 5.000749732768618000e+15 5.895994223380584000e+15
-2.263819095477387577e+01 8.383216984020581250e+14 4.895966351022789000e+15 5.734288049424847000e+15
-2.165829145728642402e+01 7.839172499208428750e+14 4.786496460177933000e+15 5.570413710098776000e+15
-2.067839195979900069e+01 7.172166109534241250e+14 4.637891669241688000e+15 5.355108280195112000e+15
-1.969849246231154893e+01 6.547353862767780000e+14 4.481830643472186500e+15 5.136566029748964000e+15
-1.871859296482412560e+01 5.965187355733990000e+14 4.319019923135684000e+15 4.915538658709083000e+15
-1.773869346733667385e+01 5.364238524619887500e+14 4.129992493067702000e+15 4.666416345529690000e+15
-1.675879396984925052e+01 4.735534641195153750e+14 3.904776355412823500e+15 4.378329819532339000e+15
-1.577889447236179876e+01 4.170050179414211875e+14 3.673028424119172500e+15 4.090033442060593500e+15
-1.479899497487437543e+01 3.602399230356030625e+14 3.406259463652742000e+15 3.766499386688345000e+15
-1.381909547738692368e+01 3.048151270454389375e+14 3.105025663042596000e+15 3.409840790088034500e+15
-1.283919597989950034e+01 2.560374405981945938e+14 2.798570027678086000e+15 3.054607468276280500e+15
-1.185929648241204859e+01 2.052186787567441875e+14 2.427775398523643000e+15 2.632994077280387500e+15
-1.087939698492462526e+01 1.624544806157043438e+14 2.064923599397053250e+15 2.227378080012757500e+15
-9.899497487437173504e+00 1.208690065789366406e+14 1.656224834836681750e+15 1.777093841415618250e+15
-8.919597989949750172e+00 8.556616507053028125e+13 1.255662650939595500e+15 1.341228816010125750e+15
-7.939698492462298418e+00 5.639423803926639844e+13 8.791076691888215000e+14 9.355019072280878750e+14
-6.959798994974875086e+00 3.294589882196697266e+13 5.406428363688055000e+14 5.735887351907725000e+14
-5.979899497487423332e+00 1.593334588079617188e+13 2.718598714118536250e+14 2.877932172926497500e+14
-5.000000000000000000e+00 5.505135802049931641e+12 9.627624185986900000e+13 1.017813776619189375e+14
