-2.80083232,0.68
-2.80508032,1.68
-2.81292832,2.68
-2.82437632,3.68
-2.83942432,4.68
-2.85807232,5.68
-2.88032032,6.68
-2.90616832,7.68
-2.93561632,8.68
-2.96866432,9.68
-3.00531232,10.68
-3.04556032,11.68
-3.08940832,12.68
-3.13685632,13.68
-3.18790432,14.68
-3.24255232,15.68
-3.30080032,16.68
-3.36264832,17.68
-3.42809632,18.68
-3.49714432,19.68
-3.56979232,20.68
-3.64604032,21.68
-3.72588832,22.68
-3.80933632,23.68
-3.89638432,24.68
-3.98703232,25.68
-4.08128032,26.68
-4.17912832,27.68
-4.28057632,28.68
-4.38562432,29.68
-4.49427232,30.68
-4.60652032,31.68
-4.72236832,32.68
-4.84181632,33.68
-4.96486432,34.68
-5.09151232,35.68
-5.22176032,36.68
-5.35560832,37.68
-5.49305632,38.68
-5.63410432,39.68
-5.77875232,40.68
-5.92700032,41.68
-6.07884832,42.68
