# z_nm potential_V
-2.000000000000000000e+02 0.000000000000000000e+00
-1.979899497487437259e+02 -1.515907339948837295e-04
-1.959798994974874518e+02 -3.031814679897674590e-04
-1.939698492462311492e+02 -4.549129234170271670e-04
-1.919597989949748751e+02 -6.068242795426264085e-04
-1.899497487437186010e+02 -7.587356356682255958e-04
-1.879396984924622984e+02 -9.112131700768328442e-04
-1.859296482412060243e+02 -1.063820126703761892e-03
-1.839195979899497502e+02 -1.216662864675695493e-03
-1.819095477386934760e+02 -1.370362537654849213e-03
-1.798994974874372019e+02 -1.524062210634003151e-03
-1.778894472361808994e+02 -1.678428591347653391e-03
-1.758793969849246253e+02 -1.833200579787457951e-03
-1.738693467336683511e+02 -1.988126420743066905e-03
-1.718592964824120486e+02 -2.144595959010849040e-03
-1.698492462311557745e+02 -2.301065497278628573e-03
-1.678391959798995003e+02 -2.458650683534229810e-03
-1.658291457286432262e+02 -2.617052758335629021e-03
-1.638190954773869521e+02 -2.775634041159876202e-03
-1.618090452261306496e+02 -2.936373074523155376e-03
-1.597989949748743754e+02 -3.097112107886432382e-03
-1.577889447236181013e+02 -3.258886344552986303e-03
-1.557788944723617988e+02 -3.422349303348515021e-03
-1.537688442211055246e+02 -3.585812262144040703e-03
-1.517587939698492505e+02 -3.751816450085189002e-03
-1.497487437185929764e+02 -3.918185173611523839e-03
-1.477386934673367023e+02 -4.085168921561778410e-03
-1.457286432160803997e+02 -4.254819494166270366e-03
-1.437185929648241256e+02 -4.424470066770759720e-03
-1.417085427135678515e+02 -4.596607266553594251e-03
-1.396984924623115489e+02 -4.769998499139370580e-03
-1.376884422110552748e+02 -4.943394964940796797e-03
-1.356783919597990007e+02 -5.120681290357582786e-03
-1.336683417085427266e+02 -5.297967615774367908e-03
-1.316582914572864524e+02 -5.477160112240610050e-03
-1.296482412060301499e+02 -5.658448987687211482e-03
-1.276381909547738758e+02 -5.839737863133809444e-03
-1.256281407035176017e+02 -6.025480753523228782e-03
-1.236180904522613133e+02 -6.211252679227528828e-03
-1.216080402010050250e+02 -6.399396705899981601e-03
-1.195979899497487509e+02 -6.590173651650778862e-03
-1.175879396984924767e+02 -6.780950597401577858e-03
-1.155778894472361884e+02 -6.975878301586769040e-03
-1.135678391959799001e+02 -7.171879939984128656e-03
-1.115577889447236259e+02 -7.369528353669722170e-03
-1.095477386934673518e+02 -7.571331444599233886e-03
-1.075376884422110635e+02 -7.773134535528747335e-03
-1.055276381909547752e+02 -7.978265285227064199e-03
-1.035175879396985010e+02 -8.185710743269706754e-03
-1.015075376884422269e+02 -8.393647399961264369e-03
-9.949748743718593857e+01 -8.606602660100406282e-03
-9.748743718592965024e+01 -8.819557920239546461e-03
-9.547738693467337612e+01 -9.034825767879998970e-03
-9.346733668341710199e+01 -9.253710520901044581e-03
-9.145728643216081366e+01 -9.472595273922091927e-03
-8.944723618090452533e+01 -9.697294295197781550e-03
-8.743718592964825120e+01 -9.922732036449301990e-03
-8.542713567839197708e+01 -1.014938789087502756e-02
-8.341708542713568875e+01 -1.038103906400993787e-02
-8.140703517587940041e+01 -1.061269023714484644e-02
-7.939698492462312629e+01 -1.084833245462677766e-02
-7.738693467336685217e+01 -1.108580665843496640e-02
-7.537688442211056383e+01 -1.132447713556504997e-02
-7.336683417085427550e+01 -1.156800440724916994e-02
-7.135678391959800138e+01 -1.181153167893328991e-02
-6.934673366834172725e+01 -1.205900087700624915e-02
-6.733668341708545313e+01 -1.230843380027572126e-02
-6.532663316582915058e+01 -1.255798591296774895e-02
-6.331658291457287646e+01 -1.281287860179251489e-02
-6.130653266331660234e+01 -1.306777129061728257e-02
-5.929648241206029979e+01 -1.332510323205355826e-02
-5.728643216080402567e+01 -1.358506265025653456e-02
-5.527638190954775155e+01 -1.384502206845951086e-02
-5.326633165829147742e+01 -1.410767457762143393e-02
-5.125628140703520330e+01 -1.437098899616521749e-02
-4.924623115577890076e+01 -1.463486665115415648e-02
-4.723618090452262663e+01 -1.490014012238556965e-02
-4.522613065326635251e+01 -1.516541359361698281e-02
-4.321608040201004997e+01 -1.543045344886773314e-02
-4.120603015075377584e+01 -1.569533476074408060e-02
-3.919597989949750172e+01 -1.595991566345380391e-02
-3.718592964824122760e+01 -1.622158525414118396e-02
-3.517587939698495347e+01 -1.648325484482856748e-02
-3.316582914572865093e+01 -1.674091457653245976e-02
-3.115577889447237681e+01 -1.699557462989696385e-02
-2.914572864321610268e+01 -1.724975876112075368e-02
-2.713567839195980014e+01 -1.749279502310313247e-02
-2.512562814070352601e+01 -1.773583128508551127e-02
-2.311557788944725189e+01 -1.796714100465821029e-02
-2.110552763819097777e+01 -1.819454645803657983e-02
-1.909547738693470365e+01 -1.840586506112116411e-02
-1.708542713567840110e+01 -1.860910706917471430e-02
-1.507537688442212698e+01 -1.879634795891296783e-02
-1.306532663316585285e+01 -1.896447250048220387e-02
-1.105527638190955031e+01 -1.911308066392799349e-02
-9.045226130653276186e+00 -1.923544348368255719e-02
-7.035175879397002063e+00 -1.932791886006785323e-02
-5.025125628140727940e+00 -1.938342679173523861e-02
-3.015075376884453817e+00 -1.939103555089700254e-02
-1.005025125628151272e+00 -1.933891205330911731e-02
1.005025125628122851e+00 -1.710704204858831332e-02
3.015075376884396974e+00 -1.264465597008876049e-02
5.025125628140699519e+00 -7.959390750473215037e-03
7.035175879396973642e+00 -2.847610563806768184e-03
