# r_nm potential_V
0.000000000000000000e+00 1.868960313533699347e-01
2.512562814070351980e+00 1.861513707626998027e-01
5.025125628140703959e+00 1.855210262899455453e-01
7.537688442211056383e+00 1.849160203659934165e-01
1.005025125628140792e+01 1.839472776857279390e-01
1.256281407035175945e+01 1.829063484157188724e-01
1.507537688442211277e+01 1.818355553155188431e-01
1.758793969849246253e+01 1.804673063429807212e-01
2.010050251256281584e+01 1.792088714980706599e-01
2.261306532663316915e+01 1.778197699730966475e-01
2.512562814070351891e+01 1.765582108167463027e-01
2.763819095477387222e+01 1.752874433692855061e-01
3.015075376884422553e+01 1.741201890837866806e-01
3.266331658291457529e+01 1.729156418999725220e-01
3.517587939698492505e+01 1.718672240015479691e-01
3.768844221105528192e+01 1.708343366239816752e-01
4.020100502512563168e+01 1.698640308642152263e-01
4.271356783919598143e+01 1.690478415689469216e-01
4.522613065326633830e+01 1.681669431329676501e-01
4.773869346733668806e+01 1.675322397626223536e-01
5.025125628140703782e+01 1.668715630741304523e-01
5.276381909547739468e+01 1.662803746426553264e-01
5.527638190954774444e+01 1.657191081542293554e-01
5.778894472361809420e+01 1.652002340079251341e-01
6.030150753768845107e+01 1.648135899094616552e-01
6.281407035175880083e+01 1.643721266346123977e-01
6.532663316582915058e+01 1.640213595530128909e-01
6.783919597989950034e+01 1.636359193154717506e-01
7.035175879396985010e+01 1.633037046507011814e-01
7.286432160804021407e+01 1.629758891927090003e-01
7.537688442211056383e+01 1.627581228021474369e-01
7.788944723618091359e+01 1.624749281535932122e-01
8.040201005025126335e+01 1.622762433987347819e-01
8.291457286432161311e+01 1.621328937505508161e-01
8.542713567839196287e+01 1.618805759221537410e-01
8.793969849246231263e+01 1.617168187425510606e-01
9.045226130653267660e+01 1.615551060118565196e-01
9.296482412060302636e+01 1.614012791539471414e-01
9.547738693467337612e+01 1.612090221331180795e-01
9.798994974874372588e+01 1.611255786902959786e-01
1.005025125628140756e+02 1.610106216620837416e-01
1.030150753768844254e+02 1.608013229693837087e-01
1.055276381909547894e+02 1.606692279586427741e-01
1.080402010050251391e+02 1.606814156352327216e-01
1.105527638190954889e+02 1.605547817990233550e-01
1.130653266331658386e+02 1.604522289137589597e-01
1.155778894472361884e+02 1.602856500831366104e-01
1.180904522613065382e+02 1.602797033012769157e-01
1.206030150753769021e+02 1.601933189614346276e-01
1.231155778894472519e+02 1.601077130466448950e-01
1.256281407035176017e+02 1.600386625591423417e-01
1.281407035175879514e+02 1.599985582736162815e-01
1.306532663316583012e+02 1.599319377378876361e-01
1.331658291457286509e+02 1.598260978582090042e-01
1.356783919597990007e+02 1.597864170998572475e-01
1.381909547738693504e+02 1.597268594056032998e-01
1.407035175879397002e+02 1.596736328011646999e-01
1.432160804020100500e+02 1.595587385829859428e-01
1.457286432160804281e+02 1.595694304973574729e-01
1.482412060301507779e+02 1.595087971333347954e-01
1.507537688442211277e+02 1.594810450117729317e-01
1.532663316582914774e+02 1.594414837648685246e-01
1.557788944723618272e+02 1.594006332758287903e-01
1.582914572864321769e+02 1.593191780628362975e-01
1.608040201005025267e+02 1.592497028775032852e-01
1.633165829145728765e+02 1.592947614616908592e-01
1.658291457286432262e+02 1.592479793799819743e-01
1.683417085427135760e+02 1.592154298986944161e-01
1.708542713567839257e+02 1.591802788962977666e-01
1.733668341708542755e+02 1.591421272032869927e-01
1.758793969849246253e+02 1.591235099411271448e-01
1.783919597989950034e+02 1.590768026793411838e-01
1.809045226130653532e+02 1.590543248039708035e-01
1.834170854271357030e+02 1.590128569624564281e-01
1.859296482412060527e+02 1.589639811326451213e-01
1.884422110552764025e+02 1.589820925859626033e-01
1.909547738693467522e+02 1.589435377788966930e-01
1.934673366834171020e+02 1.589139259709106133e-01
1.959798994974874518e+02 1.588628343402080922e-01
1.984924623115578015e+02 1.588956411475576092e-01
2.010050251256281513e+02 1.588550102728517599e-01
2.035175879396985010e+02 1.588488067655163261e-01
2.060301507537688508e+02 1.587944054336749289e-01
2.085427135678392006e+02 1.587722950137647471e-01
2.110552763819095787e+02 1.587576034718395646e-01
2.135678391959799285e+02 1.587351073952604774e-01
2.160804020100502782e+02 1.587067183748220867e-01
2.185929648241206280e+02 1.587044175266814350e-01
2.211055276381909778e+02 1.586762079935210012e-01
2.236180904522613275e+02 1.587115046639253624e-01
2.261306532663316773e+02 1.586576790883461319e-01
2.286432160804020270e+02 1.586455910453221652e-01
2.311557788944723768e+02 1.586428235801568554e-01
2.336683417085427266e+02 1.586315063442002293e-01
2.361809045226130763e+02 1.585994505630008156e-01
2.386934673366834261e+02 1.585986525644232648e-01
2.412060301507538043e+02 1.585191554638195610e-01
2.437185929648241540e+02 1.585680344343793902e-01
2.462311557788945038e+02 1.586007338282221235e-01
2.487437185929648535e+02 1.585039102289846624e-01
2.512562814070352033e+02 1.585184422681612249e-01
2.537688442211055531e+02 1.585180067852380859e-01
2.562814070351759028e+02 1.584872478618641889e-01
2.587939698492462526e+02 1.585048080211290955e-01
2.613065326633166023e+02 1.584831494275268093e-01
2.638190954773869521e+02 1.584352546525944483e-01
2.663316582914573019e+02 1.584443435081504259e-01
2.688442211055276516e+02 1.584357753223995802e-01
2.713567839195980014e+02 1.584398426814364325e-01
2.738693467336683511e+02 1.584296262277779255e-01
2.763819095477387009e+02 1.584340397679908086e-01
2.788944723618090507e+02 1.584000791952812071e-01
2.814070351758794004e+02 1.584006583639430421e-01
2.839195979899497502e+02 1.583893221825727338e-01
2.864321608040200999e+02 1.583570412182310760e-01
2.889447236180904497e+02 1.583693518616222373e-01
2.914572864321608563e+02 1.584078763942024515e-01
2.939698492462312061e+02 1.583117205423939799e-01
2.964824120603015558e+02 1.583515740732677757e-01
2.989949748743719056e+02 1.583164141304223005e-01
3.015075376884422553e+02 1.583463054196182218e-01
3.040201005025126051e+02 1.582485937175552859e-01
3.065326633165829548e+02 1.583483367900170302e-01
3.090452261306533046e+02 1.582802116669934644e-01
3.115577889447236544e+02 1.583091505432167312e-01
3.140703517587940041e+02 1.582798774608055181e-01
3.165829145728643539e+02 1.583420302881447805e-01
3.190954773869347036e+02 1.582852492199985361e-01
3.216080402010050534e+02 1.582410912902882383e-01
3.241206030150754032e+02 1.582556440117850460e-01
3.266331658291457529e+02 1.582663972669783592e-01
3.291457286432161027e+02 1.582805667177175635e-01
3.316582914572864524e+02 1.582377166202380281e-01
3.341708542713568022e+02 1.582235024459020811e-01
3.366834170854271520e+02 1.582348970409669930e-01
3.391959798994975017e+02 1.582069988951030903e-01
3.417085427135678515e+02 1.582002785417117030e-01
3.442211055276382012e+02 1.581726296994057090e-01
3.467336683417085510e+02 1.582698385946657293e-01
3.492462311557789008e+02 1.582739401429311965e-01
3.517587939698492505e+02 1.581819022845749045e-01
3.542713567839196571e+02 1.582038081250561057e-01
3.567839195979900069e+02 1.582177549939287609e-01
3.592964824120603566e+02 1.582198457778954959e-01
3.618090452261307064e+02 1.581926879963883870e-01
3.643216080402010562e+02 1.582235708690675480e-01
3.668341708542714059e+02 1.582041021099192812e-01
3.693467336683417557e+02 1.582046712163460433e-01
3.718592964824121054e+02 1.581714943946555540e-01
3.743718592964824552e+02 1.581821606150611570e-01
3.768844221105528050e+02 1.582010219740329071e-01
3.793969849246231547e+02 1.581728922381032409e-01
3.819095477386935045e+02 1.581480092988447328e-01
3.844221105527638542e+02 1.581894146376526811e-01
3.869346733668342040e+02 1.581556585992679731e-01
3.894472361809045537e+02 1.581948145812453188e-01
3.919597989949749035e+02 1.581343941483398796e-01
3.944723618090452533e+02 1.581535455098902476e-01
3.969849246231156030e+02 1.581448525160863983e-01
3.994974874371859528e+02 1.581534709169844510e-01
4.020100502512563025e+02 1.581376238183372085e-01
4.045226130653266523e+02 1.581983401473767425e-01
4.070351758793970021e+02 1.581481461795991306e-01
4.095477386934673518e+02 1.581878953083005745e-01
4.120603015075377016e+02 1.581479585059608062e-01
4.145728643216080513e+02 1.581187222715015606e-01
4.170854271356784011e+02 1.581401693529101149e-01
4.195979899497488077e+02 1.580922409554084695e-01
4.221105527638191575e+02 1.581693736729039013e-01
4.246231155778895072e+02 1.581302682374835789e-01
4.271356783919598570e+02 1.581460299125195534e-01
4.296482412060302067e+02 1.581280870098071833e-01
4.321608040201005565e+02 1.581398200771581553e-01
4.346733668341709063e+02 1.581019696744208058e-01
4.371859296482412560e+02 1.581252425894492664e-01
4.396984924623116058e+02 1.581333783562460515e-01
4.422110552763819555e+02 1.581169647916056131e-01
4.447236180904523053e+02 1.581629641915531237e-01
4.472361809045226551e+02 1.580919046613571410e-01
4.497487437185930048e+02 1.581205352867847969e-01
4.522613065326633546e+02 1.581571019145774082e-01
4.547738693467337043e+02 1.580917763898575246e-01
4.572864321608040541e+02 1.580974375412203536e-01
4.597989949748744039e+02 1.581160350031485251e-01
4.623115577889447536e+02 1.580922199725682820e-01
4.648241206030151034e+02 1.580998724233226849e-01
4.673366834170854531e+02 1.580606893029121718e-01
4.698492462311558029e+02 1.581239030298534631e-01
4.723618090452261526e+02 1.581483832637151643e-01
4.748743718592965024e+02 1.580924402189124722e-01
4.773869346733668522e+02 1.581458019429656248e-01
4.798994974874372019e+02 1.580886848584071303e-01
4.824120603015076085e+02 1.580879439819941612e-01
