6.1,0,,,,,,,,
6.095,1,,,,,,,,
6.08,2,,,,,,,,
6.055,3,,,,,,,,
6.02,4,,,,,,,,
5.975,5,,,,,,,,
5.92,6,,,,,,,,
5.855,7,,,,,,,,
5.78,8,,,,,,,,
5.695,9,,,,,,,,
5.6,10,,,,,,,,
5.495,11,,,,,,,,
5.38,12,,,,,,,,
5.255,13,,,,,,,,
5.12,14,,,,,,,,
4.975,15,,,,,,,,
4.82,16,,,,,,,,
4.655,17,,,,,,,,
4.48,18,,,,,,,,
4.295,19,,,,,,,,
4.1,20,,,,,,,,
3.895,21,,,,,,,,
3.68,22,,,,,,,,
3.455,23,,,,,,,,
3.22,24,,,,,,,,
2.975,25,,,,,,,,
2.72,26,,,,,,,,
2.455,27,,,,,,,,
2.18,28,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,-1.905,41,-2.505,41
,,,,,,-2.32,42,-2.92,42
,,,,,,-2.745,43,-3.345,43
,,,,,,-3.18,44,-3.78,44
,,,,,,-3.625,45,-4.225,45
,,,,,,-4.08,46,-4.68,46
,,,,,,-4.545,47,-5.145,47
,,,,,,-5.02,48,-5.62,48
,,,,,,-5.505,49,-6.105,49
,,,,,,-6,50,-6.6,50
,,,,,,-6.505,51,-7.105,51
,,,,,,-7.02,52,-7.62,52
,,,,,,-7.545,53,-8.145,53
,,,,,,-8.08,54,-8.68,54
,,,,,,-8.625,55,-9.225,55
,,,,,,-9.18,56,-9.78,56
,,,,,,-9.745,57,-10.345,57
,,,,,,-10.32,58,-10.92,58
,,,,,,-10.905,59,-11.505,59
,,,,,,-11.5,60,-12.1,60
,,,,,,-12.105,61,-12.705,61
,,,,,,-12.72,62,-13.32,62
,,,,,,-13.345,63,-13.945,63
,,,,,,-13.98,64,-14.58,64
,,,,,,-14.625,65,-15.225,65
,,,,,,-15.28,66,-15.88,66
,,,,,,-15.945,67,-16.545,67
,,,,,,-16.62,68,-17.22,68
,,,,,,-17.305,69,-17.905,69
,,,,,,-18,70,-18.6,70
,,,,,,-18.705,71,-19.305,71
,,,,,,-19.42,72,-20.02,72
,,,,,,-20.145,73,-20.745,73
,,,,,,-20.88,74,-21.48,74
,,,,,,-21.625,75,-22.225,75
,,,,,,-22.38,76,-22.98,76
,,,,,,-23.145,77,-23.745,77
,,,,,,-23.92,78,-24.52,78
,,,,,,-24.705,79,-25.305,79
,,,,,,-25.5,80,-26.1,80
,,,,,,-26.305,81,-26.905,81
,,,,,,-27.12,82,-27.72,82
,,,,,,-27.945,83,-28.545,83
,,,,,,-28.78,84,-29.38,84
,,,,,,-29.625,85,-30.225,85
,,,,,,-30.48,86,-31.08,86
,,,,,,-31.345,87,,
